species,treatment,value
a,x1,-0.05100085480446317
a,x1,-0.1724841180719438
a,x1,-0.022312639250528798
a,x1,0.023918861910948733
a,x1,0.0157524134786418
a,x1,0.007899811898730848
a,x1,-0.00586356373060699
a,x1,-0.03605093797370211
a,x1,0.08226155202200504
a,x1,-0.0770936747344012
a,x1,-0.023730742377274308
a,x1,-0.03171190367076187
a,x1,-0.03316774866383107
a,x1,0.03189966262292756
a,x1,0.0024570364057839595
a,x1,-0.07508683366845034
a,x1,-0.004774872754676722
a,x1,0.044676408146985494
a,x1,-0.050620083172740755
a,x1,0.05179949140746786
a,x1,0.04827251542841553
a,x1,0.03057985118684158
a,x1,0.07534523243216486
a,x1,0.033171165227858186
a,x1,0.02353726787784302
a,x1,-0.03781351372824206
a,x1,-0.05377241091825109
a,x1,0.09189585508373636
a,x1,0.05929532957685766
a,x1,0.06070616828978834
a,x1,0.05756879014550082
a,x1,0.059697476479575566
a,x1,0.06593717408637984
a,x1,-0.14924805341593372
a,x1,-0.022501314221626916
a,x1,-0.040037290529907954
a,x1,-0.05620651873883201
a,x1,-0.04735443274999615
a,x1,-0.0758371477136977
a,x1,-0.05541270543419746
a,x1,0.029810083334176476
a,x1,-0.025581449436994284
a,x1,-0.014507781680298256
a,x1,-0.042180328259806305
a,x1,0.01778539773898545
a,x1,0.013851479052569112
a,x1,-0.06457104309860003
a,x1,0.03078012481058908
a,x1,-0.05164690936621866
a,x1,-0.07347943528881018
a,x1,0.00971567264342226
a,x1,-0.07841071432415557
a,x1,-0.047422369055050144
a,x1,-0.09959079660487269
a,x1,-0.01586880428443213
a,x1,-0.021552774895050933
a,x1,-0.0570800215856135
a,x1,-0.02402365731992618
a,x1,0.006380463823449712
a,x1,-0.0013087165128304983
a,x1,0.07981821188837977
a,x1,-0.033364991707719706
a,x1,-0.04806189067400724
a,x1,0.08541817317318473
a,x1,-0.043918336738138525
a,x1,0.12849484097553682
a,x1,-0.036676515669185845
a,x1,-0.01798127880042522
a,x1,-0.04658766351656317
a,x1,0.04981757557791571
a,x1,0.06506463248465542
a,x1,-0.02162984897173138
a,x1,-0.0022014321554485548
a,x1,-0.009338147097303993
a,x1,-0.005979887758696772
a,x1,0.01766269121729684
a,x1,-0.02783859340836044
a,x1,0.05964972573495493
a,x1,-0.06562107547622073
a,x1,0.04459942235270042
a,x1,0.11967142384997306
a,x1,-0.05734559630092132
a,x1,-0.009958564686901707
a,x1,-0.027312349462488787
a,x1,0.01440087570767882
a,x1,-0.14643137544670673
a,x1,-0.07835191417325563
a,x1,0.0025206729840391018
a,x1,0.003499240606609992
a,x1,0.03424912035003932
a,x1,-0.10108291580070218
a,x1,0.18088424087558672
a,x1,0.15301042842882187
a,x1,0.2183667690438536
a,x1,0.22706198170865508
a,x1,0.2788861533235469
a,x1,0.054315172039247565
a,x1,0.024366869442009748
a,x1,-0.03780741365440593
a,x1,-0.03323066990830899
a,x1,-0.02672983947283994
a,x1,-0.03261850075197781
a,x1,-0.04711940048471389
a,x1,-0.007040044908254061
a,x1,-0.003159852423604677
a,x1,-0.004127945656490757
a,x1,0.02634554060203897
a,x1,-0.0034538842968802113
a,x1,0.034442651397618276
a,x1,-0.0878376528755443
a,x1,-0.09564099081966008
a,x1,-0.06340127738232229
a,x1,-0.0372205998336042
a,x1,-0.042387212763338324
a,x1,-0.07885847509994272
a,x1,-0.07885847509994272
a,x1,-0.07790257282084725
a,x1,-0.07389712497495579
a,x1,0.007861841534282328
a,x1,-0.07222329936104435
a,x1,-0.08381804439486286
a,x1,-0.08576551647125749
a,x1,0.035651614230301325
a,x1,-0.061308304865256236
a,x1,-0.2158660183398189
a,x1,-0.09895540011130673
a,x1,-0.12574161146849092
a,x1,-0.038255676301439355
a,x1,-0.01993630035865232
a,x1,-0.009728619239012337
a,x1,0.000828696578303758
a,x1,0.048187382546466845
a,x1,0.02308846906200322
a,x1,-0.17474632237113996
a,x1,-0.17305383819160997
a,x1,-0.10375113884981817
a,x1,-0.13306383198898655
a,x1,-0.11038853902089013
a,x1,-0.15702589449417556
a,x1,-0.121922504672746
a,x1,-0.0895936914369147
a,x1,-0.11867144538007784
a,x1,0.0044873580798379005
a,x1,-0.028625258598439226
a,x1,-0.04141539338822846
a,x1,-0.036534684501364725
a,x1,-0.027133942030211175
a,x1,0.03261927653861645
a,x1,0.03530432637897089
a,x1,-0.061176117649633356
a,x1,-0.06829763182906293
a,x1,-0.05815020051960906
a,x1,-0.0829396736207589
a,x1,-0.05639374133203535
a,x1,-0.07745085717763027
a,x1,-0.03894799890946685
a,x1,-0.06826848857803754
a,x1,-0.06827815251788721
a,x1,-0.07408843192334207
a,x1,0.04038738848419181
a,x1,0.02001774301997277
a,x1,-0.03747176096561909
a,x1,-0.01563582550064386
a,x1,-0.1020338384019393
a,x1,-0.09158522327158794
a,x1,-0.09891823123434615
a,x1,-0.13499363954773658
a,x1,-0.13499363954773658
a,x1,-0.05274843741572937
a,x1,-0.10253865626884258
a,x1,-0.02051930135574268
a,x1,-0.06389716708255891
a,x1,-0.04837862337888931
a,x1,-0.0484035894233129
a,x1,-0.07682789085426404
a,x1,-0.10684996583600022
a,x1,-0.14917157996874464
a,x1,0.034086053222644075
a,x1,0.06822667540465381
a,x1,0.04238844535719392
a,x1,0.01462634933491776
a,x1,-0.008640153489845107
a,x1,-0.08557525183661725
a,x1,0.019773017539111273
a,x1,0.07256112667457627
a,x1,-0.07949847903766485
a,x1,0.005891875003036766
a,x1,-0.04468177230714863
a,x1,-0.022314325665386568
a,x1,-0.04263755029001422
a,x1,-0.04256609492768229
a,x1,-0.03298494310714259
a,x1,0.10263341119507034
a,x1,0.03377188348273262
a,x1,0.04406594602385645
a,x1,0.022461584217737567
